               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035281,            0.016164,          0.00067915,              0.7307,             0.63089,             0.67604,             0.25306,            0.051915,            0.015525,           0.0017346,            0.004225,            0.004225,            0.004225
                  37,            0.034811,            0.014241,            0.000625,             0.76011,             0.63792,             0.68364,             0.26363,            0.051698,            0.015226,           0.0017708,             0.00406,             0.00406,             0.00406
                  38,            0.032249,            0.013961,          0.00060846,             0.72958,             0.63553,             0.67213,             0.26954,            0.052327,            0.015556,           0.0017786,            0.003895,            0.003895,            0.003895
                  39,             0.03394,            0.015044,           0.0006818,             0.81049,             0.57875,              0.6617,              0.2639,            0.051937,            0.015657,           0.0016995,             0.00373,             0.00373,             0.00373
                  40,            0.033106,            0.015311,           0.0004275,             0.70431,              0.6686,             0.67569,             0.26403,            0.051428,            0.015702,           0.0017642,            0.003565,            0.003565,            0.003565
                  41,            0.032861,            0.013354,           0.0003998,             0.80073,             0.64329,             0.71252,             0.26711,            0.051027,            0.015437,           0.0017181,              0.0034,              0.0034,              0.0034
                  42,            0.031596,            0.013653,          0.00044339,             0.73092,             0.66358,             0.66779,             0.28421,            0.049857,            0.015804,           0.0016421,            0.003235,            0.003235,            0.003235
                  43,            0.030411,            0.015101,          0.00042779,              0.8018,             0.63267,              0.6915,             0.28801,            0.049514,            0.015427,           0.0016564,             0.00307,             0.00307,             0.00307
                  44,            0.030578,             0.01349,          0.00049051,             0.75704,             0.66499,             0.67493,             0.29191,            0.050592,            0.015216,           0.0015806,            0.002905,            0.002905,            0.002905
                  45,            0.030775,            0.013393,          0.00046943,             0.77685,             0.66811,             0.69893,             0.29009,            0.050131,            0.015362,           0.0015892,             0.00274,             0.00274,             0.00274
                  46,            0.029752,             0.01296,          0.00037647,             0.75432,             0.69304,             0.69696,              0.2724,            0.051584,             0.01576,           0.0016253,            0.002575,            0.002575,            0.002575
                  47,            0.028991,            0.013428,          0.00029314,             0.74787,             0.68549,             0.71728,             0.28167,            0.050214,            0.015129,            0.001534,             0.00241,             0.00241,             0.00241
                  48,            0.028679,             0.01242,          0.00032318,             0.83211,             0.66238,             0.71158,             0.28022,            0.050614,            0.015004,           0.0014614,            0.002245,            0.002245,            0.002245
                  49,            0.029996,            0.013475,          0.00035402,             0.79591,             0.64198,             0.69087,             0.28257,            0.050319,            0.015324,            0.001484,             0.00208,             0.00208,             0.00208
                  50,            0.028642,            0.012399,           0.0003748,             0.80688,             0.62088,             0.68739,             0.27001,            0.050553,            0.015761,           0.0014647,            0.001915,            0.001915,            0.001915
                  51,            0.027586,            0.012586,           0.0003667,             0.76264,             0.68819,             0.69675,             0.26264,            0.050923,              0.0161,           0.0014766,             0.00175,             0.00175,             0.00175
                  52,            0.028398,            0.012648,           0.0004179,             0.75234,             0.69191,             0.68649,             0.27225,            0.050408,            0.015704,           0.0014994,            0.001585,            0.001585,            0.001585
                  53,             0.02805,             0.01264,          0.00023652,             0.82804,             0.64471,             0.68007,             0.25961,            0.052091,            0.015682,           0.0014981,             0.00142,             0.00142,             0.00142
                  54,            0.027253,            0.012295,          0.00024058,             0.78452,             0.63789,             0.68086,             0.26501,            0.051243,            0.015933,           0.0014942,            0.001255,            0.001255,            0.001255
                  55,            0.027582,            0.012594,          0.00028818,             0.72203,             0.66317,             0.67081,             0.26052,            0.050924,            0.016097,           0.0014722,             0.00109,             0.00109,             0.00109
                  56,            0.026825,            0.012343,          0.00022513,             0.78941,             0.63735,              0.6807,             0.26651,            0.050874,            0.016045,           0.0014667,            0.000925,            0.000925,            0.000925
                  57,            0.026941,            0.012136,          0.00049096,             0.76982,             0.64214,             0.67472,             0.27472,             0.05068,            0.015989,            0.001472,             0.00076,             0.00076,             0.00076
                  58,            0.026171,            0.012244,           0.0002424,             0.77976,             0.64973,             0.68684,             0.28054,             0.05047,            0.015848,           0.0014497,            0.000595,            0.000595,            0.000595
                  59,            0.026871,            0.012915,          0.00031775,              0.7853,             0.63717,             0.69257,             0.28671,            0.050225,            0.015738,           0.0014339,             0.00043,             0.00043,             0.00043
